horizon_min,split,n,positives,prevalence,auroc,auprc,threshold,precision,recall,f1,tn,fp,fn,tp
1,validation,1415,19,0.01342756183745583,0.6353868194842407,0.04625629047301339,0.9603030303030302,0.15789473684210525,0.15789473684210525,0.15789473684210525,1380,16,16,3
1,test,1549,29,0.01872175597159458,0.7339382940108892,0.05536870597397789,0.9603030303030302,0.0,0.0,0.0,1509,11,29,0
2,validation,1412,36,0.025495750708215296,0.6124031007751938,0.04170915051713197,0.8712121212121212,0.08888888888888889,0.1111111111111111,0.09876543209876543,1335,41,32,4
2,test,1545,57,0.036893203883495145,0.6253183361629882,0.0732418540636015,0.8712121212121212,0.1,0.03508771929824561,0.05194805194805195,1470,18,55,2
3,validation,1409,50,0.035486160397444996,0.6225754231052245,0.0511726342551315,0.6979797979797979,0.060085836909871244,0.28,0.0989399293286219,1140,219,36,14
3,test,1541,80,0.05191434133679429,0.6237508555783711,0.11267024126254689,0.6979797979797979,0.13114754098360656,0.2,0.15841584158415842,1355,106,64,16
5,validation,1403,73,0.05203136136849608,0.6359151302914821,0.07713358488576762,0.7128282828282828,0.102803738317757,0.3013698630136986,0.15331010452961671,1138,192,51,22
5,test,1533,120,0.07827788649706457,0.6334984666194858,0.1390386730312521,0.7128282828282828,0.14942528735632185,0.10833333333333334,0.12560386473429952,1339,74,107,13
