error_type,mean_hr_bpm,sdnn_sec,rmssd_sec,pnn50,cv_rr,n_rr_valid,rr_invalid_fraction
FN,54.67592150927324,0.1151337165783005,0.09030809924616529,0.5328512358081947,0.10409937618095483,54.67567567567568,6.006006006006006e-05
FP,64.01760820157419,0.061816780602039156,0.03599636682787184,0.14202495410083776,0.06565295732700235,63.96672354948805,0.0
TN,56.247890393688564,0.08017562041567133,0.08060906109928714,0.4330209976823382,0.07506972415418865,56.17955112219451,0.0006755165170601987
TP,61.677388513191985,0.10971098030475174,0.05613320921824573,0.28595718204318626,0.11073329934918325,61.67846607669617,0.0
