feature,lag,mean,median,std
mean_hr_bpm,5,70.82442283221907,70.09944843723996,9.510687728863337
mean_hr_bpm,4,71.19464435387508,69.99430760401441,9.672385806409697
mean_hr_bpm,3,71.39508320235385,70.12858663985398,9.515555365605136
mean_hr_bpm,2,71.34076993130118,70.2106397438879,9.300795283672855
mean_hr_bpm,1,71.74048830754727,71.01779440610065,8.880409020022896
sdnn_sec,5,0.053856814858776796,0.0433451798153043,0.037517077604017374
sdnn_sec,4,0.055098625813040224,0.04487867113256675,0.03932338169282484
sdnn_sec,3,0.05544298796849697,0.0442875328468117,0.042462903536109944
sdnn_sec,2,0.05312828827932931,0.04309942134970515,0.03781627696292847
sdnn_sec,1,0.0682132836506928,0.0574137601485355,0.03950113858963321
rmssd_sec,5,0.030274292017896207,0.0213325950522014,0.024033935975151074
rmssd_sec,4,0.02885305277789494,0.02092062369869745,0.020100762952408292
rmssd_sec,3,0.02976678710418371,0.02135590866669175,0.022184276167199105
rmssd_sec,2,0.03115454310686527,0.0217035498387794,0.02490449911311846
rmssd_sec,1,0.03178302930822793,0.02373981309270375,0.021284964166587286
pnn50,5,0.09255227748173861,0.024540800963565153,0.13733534798955518
pnn50,4,0.08431544967886526,0.0253164556962025,0.12518429565523367
pnn50,3,0.09105524023424308,0.0317460317460317,0.13094235671876148
pnn50,2,0.0965067072429332,0.0259784075573549,0.141897408534326
pnn50,1,0.09716310522197952,0.0441558441558441,0.1260005871529387
cv_rr,5,0.06241161570125054,0.05146016155107455,0.043000023528265985
cv_rr,4,0.06388113873609551,0.054263536872492954,0.042303546827748756
cv_rr,3,0.06489225262857418,0.053303501359912506,0.048379979317426505
cv_rr,2,0.06269833610280776,0.05095842776618935,0.04532041312072518
cv_rr,1,0.08013673641058107,0.0708165242148658,0.04436133923997058
