error_type,mean_hr_bpm_history_mean,sdnn_sec_history_mean,rmssd_sec_history_mean,pnn50_history_mean,cv_rr_history_mean
FN,63.730090085704134,0.07632647799692872,0.04264451530796729,0.18187767776792602,0.07826584983995465
FP,62.77756028272567,0.08128012767095465,0.044003991296936315,0.21664785099166647,0.0880955048327874
TN,60.9116963096254,0.08401994462723886,0.05519750173617488,0.276382413677752,0.08370771987255386
TP,54.96871465960491,0.0997872767431351,0.08253911798736319,0.5299800221975584,0.0950191662941958
